,_id,username,role,supporter,verified,country,gamesplayed,gameswon,rating,glicko,rd,rank,apm,pps,vs,decaying
0,5e844b0868270e617d52c990,czsmall0402,user,True,False,,238,215,24978.63254014433,3363,84,x,146.55,3.19,321.62,False
1,5f5dbcc4454e942b4fdfc5fa,vincehd_,user,True,True,PH,162,149,24977.281402454148,3336,66,x,148.18,3.42,332.45,False
2,5e7cd9b6552a596c95f3c0a0,jason0107,user,,False,TW,203,174,24971.06027477566,3273,67,x,146.11,3.63,323.59,False
3,6005c355413441e94a56c91f,seunghun1004,user,,False,KR,105,96,24963.11138100913,3208,66,x,125.46,3.41,284.71,False
4,5eb11da1e47b643b5d12e5f1,gamaover,user,True,True,JP,332,245,24962.642754183264,3205,66,x,121.62,2.93,279.35,False
5,5e4f0ad196a8426ec442746e,qmk,user,True,True,US,287,246,24962.635385394493,3214,82,x,124.17,2.72,276.36,False
6,5e40825a4be6907ad7eab03d,sm999,user,,False,US,411,325,24960.42582626432,3204,90,x,145.22,3.59,297.2,False
7,5ea01a4023c2213fb5d896ce,bazzy,user,,False,KR,358,307,24959.276857015324,3192,84,x,141.4,3.41,298.49,False
8,5eadf2538bba9670ff749838,uyeshota,user,True,True,JP,745,560,24955.87651491593,3163,68,x,142.38,3.13,308.56,False
9,5e7ef588480f046c87d71e6a,nairod7,user,,False,PH,187,139,24952.897731560344,3150,77,x,127.01,3.01,296.53,False
10,5e3f7f475f52586eee883140,circu1ation,user,,False,HK,405,262,24947.673526685463,3116,65,x,149.79,3.44,311.57,False
11,5e771325a8a28e1c6b9e224b,lita,user,,False,KR,301,230,24947.524532673997,3128,88,x,140.57,3.36,297.3,False
12,5e776ff4eb714e28ff396826,rippleyo,user,,False,,690,489,24945.392855454742,3107,69,x,107.79,2.63,242.7,False
13,5e479e03b7c60f23a497ef55,master,user,True,False,PE,287,224,24935.40160344267,3062,66,x,115.77,3.38,257.14,False
14,5e89fca2fd676e407898adbe,fortissim2,user,,False,CA,162,136,24928.89312018526,3038,71,x,122.81,3.03,274.7,False
15,5e3f6ebe3dacc16dbc4dd6aa,doremy,user,True,True,FR,804,588,24922.258056033745,3014,69,x,121.51,3.03,262.96,False
16,5ef74f58efada759d102d332,monkeyida,user,,False,TW,179,141,24918.508889016466,3002,69,x,122.12,2.94,274.54,False
17,5e9f1c61530bc13f9fdcf811,cdqd,user,,False,AU,722,529,24915.942122589862,2993,68,x,121.31,3.2,275.6,False
18,5ec209f046fbeb624db400e7,shan,user,,False,NZ,275,207,24912.72227222059,2983,67,x,116.19,2.97,260.97,False
19,5e40a8a84be6907ad7eab369,ducklife4player,user,True,False,US,550,392,24910.557331452816,2976,65,x,117.38,3.19,254.52,False
20,5fb0b7183a6a8b21b897e660,bezdakez,user,,False,AU,286,223,24909.67601651044,2974,67,x,118.1,2.97,253.6,False
21,5e436daf368a5d2489fbf848,star,user,True,True,KR,113,93,24909.533941082078,2982,84,x,120.61,3.16,265.18,False
22,5e40866a4be6907ad7eab093,blink,user,True,True,US,333,206,24900.520367550555,2947,64,x,111.21,3.09,249.59,False
23,5e5519a1d3d34d221686816b,z2sam,user,True,True,NO,1285,930,24898.01044539566,2941,66,x,109.01,3.05,236.75,False
24,5eb64241876b6b0ffcb6da9d,gary0728,user,,False,TW,250,187,24897.93825908617,2941,67,x,115.54,2.75,258.62,False
25,5e776b471c08bb29066f77fa,whitemerald,user,,False,JP,89,70,24892.084187298526,2932,78,x,122.41,2.84,264.61,False
26,5e57d47141d15b6621450b35,pokedialga,user,,False,TW,310,220,24891.68998451088,2927,70,x,121.2,2.7,261.17,False
27,5e47696db7c60f23a497ee6c,caboozled_pie,user,True,True,US,2431,1474,24890.83376317865,2924,67,x,132.89,3.02,268.19,False
28,5e97a3b66d7a977e4cdb079f,quantumhornet4,user,,False,US,595,396,24886.904416762074,2915,68,x,125.82,3.03,260.25,False
29,5e40a2b74be6907ad7eab292,cheep,user,,False,US,280,203,24886.453828587957,2915,69,x,103.7,2.49,229.28,False
30,5e8a7177e0f3ac5e2acb2797,combostorm,user,True,True,US,526,355,24886.20599730749,2912,65,x,104.57,2.97,233.72,False
31,5e474faeb7c60f23a497ed8a,moon,user,True,False,KR,137,106,24885.188178136927,2914,74,x,123.25,3.14,265.7,False
32,5e383324456244768a097519,lordtime,user,,False,VN,664,396,24871.612533777974,2880,64,x,109.82,2.86,245.49,False
33,5f15d37aae1410756edb84b4,fanboy_,user,,False,PH,174,138,24871.21423032365,2881,70,x,97.7,2.74,220.98,False
34,5e77cec01c08bb29066f803f,agrais,user,,False,GB,181,125,24863.793771763725,2872,80,x,111.17,2.82,255.2,False
35,5ea93960325d7d6e3b8d0404,enustishoy,user,True,False,TH,107,91,24859.268690476074,2872,97,x,119.23,3.08,256.6,False
36,5f887fcc528924e6c3b315fe,oldtall,user,,False,TW,277,203,24849.90286972431,2841,71,x,111.43,2.71,246.8,False
37,5e3b1f06d4f01d2fa33a52eb,syperion,user,,False,GB,249,167,24849.321603391396,2841,72,x,105.07,3.15,216.61,False
38,5e7e1ef3227d876c8e031054,ecans,user,True,False,GB,963,651,24846.935303147795,2834,65,x,100.97,2.71,225.47,False
39,5e38b6fada96810bc7f8f65e,jed,user,True,False,UY,184,140,24846.437316353495,2837,74,x,98.23,2.93,218.68,False
40,5e76bfa93b02231ab3bc5df7,minest,user,,False,JP,1544,989,24843.08005938696,2828,66,x,105.66,2.62,226.74,False
41,5f6726f8484fe92b48f6fb6c,sogui,user,,False,,192,142,24840.196352565858,2825,71,x,103.1,2.91,221.52,False
42,5eafb2840986230fd35f652f,fierylight,user,,False,CA,150,111,24838.929308082355,2826,77,x,107.41,2.89,232.69,False
43,5eba5762eaad4a100d8dd44b,flex,user,,False,KR,42,32,24838.069252995632,2826,88,x,95.29,2.85,215.27,True
44,5eccb96a0fc2886c082c85db,knk,user,,False,JP,1158,749,24837.509813764755,2819,66,x,100.21,2.92,224.68,False
45,5e77b6c377fbb428eaebc64e,bentoboxer,user,True,False,US,843,521,24826.032698431696,2800,64,x,98.36,2.74,222.82,False
46,5f16f324b9b671755391d96e,firesun,user,,False,KR,617,413,24824.05902422885,2798,70,x,91.02,2.9,226.39,True
47,5e7df349227d876c8e030e12,hua,user,,False,TW,394,269,24821.277698438913,2794,68,x,95.19,2.69,217.16,False
48,5e767321b040a31ac8b03de3,orangejuice,user,,False,,210,127,24817.655546059188,2791,74,x,115.02,2.73,242.94,False
49,5e931d45f889370f5a901693,twirler,user,,False,MY,235,168,24815.58368270352,2789,74,x,100.43,2.56,224.22,False
50,5e4090644be6907ad7eab161,alvgreat,user,,False,US,616,396,24815.300360562396,2784,64,x,109.89,2.83,242.62,False
51,5e8fe29822419c5beba6ef90,thomastik,user,,False,TW,646,391,24812.075326885628,2780,65,x,95.6,2.22,217.73,False
52,5e7f2a46ce1b046ca2a4076b,bada,user,,False,BE,193,137,24811.927212528582,2784,93,x,102.25,2.54,235.11,True
53,5e434cd4368a5d2489fbf5bf,1081p,user,,False,US,534,336,24793.3980701806,2754,64,x,88.92,2.15,202.11,False
54,5e78fc7cf301bc34b6110378,sniraite,user,,False,HK,374,249,24787.406934431496,2750,90,x,109.41,2.8,240.64,True
55,5e381f4c456244768a097502,zack101155,user,,False,MY,247,159,24787.282052926177,2749,69,x,104.21,2.46,234.31,False
56,5e476c83cd3e00239ed375e6,frostfire,user,,False,CA,707,440,24786.979655869523,2747,65,x,104.56,2.52,209.01,False
57,5e3d85b42445dd5207770d0c,garbo,user,True,True,CA,2708,1525,24784.808755813116,2743,62,x,105.9,2.65,229.5,False
58,5e70d6faf4d07803edf62cb2,kirigo,user,,False,PH,389,236,24782.315048918914,2741,66,x,98.72,2.34,218.33,False
59,5e8a899a466f9b5e37ad6770,qepsi,user,,False,US,2806,1622,24779.958711661908,2739,87,x,90.08,2.46,209.17,True
60,5fec827c60fd3a0b8106881a,koreanzombie,user,,False,KR,63,54,24777.030487420594,2736,69,x,103.09,3.02,234.0,False
61,5ead8193a481005a1ca3804f,hej123,user,,False,SE,73,56,24776.498883190507,2739,100,x,100.24,2.79,221.38,True
62,5e9abf2f77ea8f7e3000b7e0,xfly,user,,False,TW,85,63,24764.945335549277,2730,99,x,109.79,2.95,233.42,True
63,5e59afc0dc70d524cd716c4e,ugm,user,,False,,1608,973,24761.315711884992,2716,64,x,94.3,2.43,221.11,False
64,5e3e0aba5729355ae1f3dc0a,spider,user,,False,,561,310,24755.107066438788,2710,66,x,100.29,2.84,229.39,False
65,5e71667c7ebe6603fa38163e,corona,user,,False,MX,494,295,24745.91595817286,2700,64,x,93.16,2.63,209.37,False
66,5e9429d8686842382d1d0503,einz,user,,False,JP,241,166,24743.63613975503,2713,99,x,88.4,2.49,197.95,False
67,5e88d0ead351fa71316ba29e,promooooooo,user,,False,US,665,385,24743.0061641274,2697,65,x,99.06,2.81,221.19,False
68,5e76725a2cd9101aa638856f,brian,user,,False,US,944,614,24740.186008597695,2694,64,x,99.91,2.7,218.48,False
69,5e9b39cc53f8813fadb7b449,cubi,user,True,False,AQ,1561,865,24725.871757562647,2679,63,x,91.52,2.39,206.87,False
